keys,zh_TW,en
c_Buck,"巴克","Buck"
254C36_8BBED7,"請問，你是巴克先生嗎？我是科學院派來的調研員。指派信上說，要在月台找一位巴克先生...","Excuse me, are you Mr. Buck? I'm a researcher sent by the academy. The assignment letter said to find a Mr. Buck at the platform..."
254C36_E9F9A6,"{{Persistence.data.player_name}}遞出一封沾了點水氣的信件","{{Persistence.data.player_name}} hands over a slightly damp letter"
254C36_BEA01E,"巴克連信都沒接，只是斜眼掃了一下信封上的學院紅印，緩緩吐出一口煙","Buck doesn't even take the letter, just glances at the academy's red seal on the envelope and slowly exhales a puff of smoke"
254C36_49F50B,"我就是巴克，這封信在城裡可能很有分量，但在翠嶺谷，它連拿來墊桌腳都嫌太薄。","I am Buck. This letter might be important in the city, but here in Emerald Valley, it's too thin to even use as a table leg."
254C36_0FA7E6,"聽著，大學生。市長讓我來接你是因為他還抱著一絲幻想，但我看你這細皮嫩肉的樣子，這兒的雨兩天就能把你淋感冒。","Listen, college student. The mayor sent me to pick you up because he's still holding onto a glimmer of hope, but looking at your delicate skin, the rain here will have you catching a cold in two days."
254C36_44E7B7,"行李拎好，跟我走，別指望我會幫你拿那箱廢鐵。","Pack your luggage, follow me, and don't expect me to help you carry that box of scrap metal."
254C36_9AB791,"喂！那個拿著信封在那晃的！你以為這兒是大城市嗎？，隨便亂走不怕掉坑裡啊！","Hey! You with the envelope! Do you think this is a big city? Walking around like that, aren't you afraid of falling into a pit!"
254C36_A54F7D,"{{Persistence.data.player_name}}停下腳步，轉頭看著巴克","{{Persistence.data.player_name}} stops and turns to look at Buck"
254C36_3C812B,"你是巴克先生？我以為你會在車站外面等我呢。這是學院給我的指派信，上面寫著...","Are you Mr. Buck? I thought you would be waiting for me outside the station. This is the assignment letter from the academy, it says..."
254C36_885070,"巴克快步走近，粗魯地打斷","Buck quickly approaches and rudely interrupts"
254C36_7FB827,"信上寫什麼我一點興趣都沒有。\n在這兒，我們看的是十字鎬流了多少汗，不是看你的信封印章有多紅。","I have no interest in what's written on the letter. Here, we look at how much sweat you've put into your pickaxe, not how red your letter seal is."
254C36_7FB825,"我是工頭巴克，市長讓我來領你這個『法師老爺』。","I'm Foreman Buck, the mayor sent me to pick you up, you 'mage lord'."
254C36_7FB826,"把那封信收起來吧，揉爛了這裡可沒有導師給你補發。\n這兒沒馬車，腳步跟緊點，要是迷失在霧裡，我可不會回頭找你。","Put that letter away, if you crumple it up, there's no tutor here to reissue it for you. There's no carriage here, keep up with me, if you get lost in the fog, I won't turn back to find you."
254C36_15EABC,"喲，這不是那個……『大學生』嗎？怎麼，觀測站的床太硬睡不著，這麼早就跑出來散步了？","Yo, isn't this the... 'college student'? What's wrong, can't sleep on the hard bed at the observatory, going out for a walk so early?"
254C36_4AF9CC,"巴克先生，我有名字的，我叫{{Persistence.data.player_name}}。","Mr. Buck, I have a name, it's {{Persistence.data.player_name}}."
254C36_7F2825,"隨便啦，對我來說你們這群穿白袍的都長得差不多。\n聽著，大學生，我不管你在鎮上東摸西摸想幹嘛，只要別擋著礦車的路，我也沒興趣管你。","Whatever, to me you guys in white robes all look the same. Listen, college student, I don't care what you do around town as long as you don't block the minecart tracks, I have no interest in you."
254C36_A6BAFE,"我是在紀錄魔力紊亂的頻率，這對礦區安全有幫助的...","I'm recording the frequency of magical disturbances, it's helpful for mine safety..."
254C36_BBE968,"省省吧。以前也有人說過一樣的話，結果呢？除了炸掉我們半條礦道，什麼也沒留下。","Spare me. Someone said the same thing before, and what happened? Besides blowing up half of our mine, it didn't leave anything behind."
