key,en,zh_TW
UI_StartGame,Start Game,開始遊戲
UI_LoadGame,Load Game,載入遊戲
UI_Settings,Settings,設定
UI_Credit,Credit,製作團隊
UI_Exit,Exit,退出

UI_Video,Video,視訊
UI_Audio,Audio,音訊
UI_Input,Input,輸入
UI_Back,Back,返回
UI_Save,Save,保存
UI_EndTurn,End Turn,結束回合

UI_FullScreen,Full Screen,全螢幕
UI_Language,Language,語言

UI_MasterVolume,Master,主音量
UI_BGMVolume,BGM,背景音量
UI_SFXVolume,SFX,音效音量
UI_UIVolume,UI,介面音量

UI_NameFilter,Name Filter,名稱篩選
UI_Sort,Sort,排序
UI_Asc,Asc,升冪
UI_Desc,Desc,降冪
UI_Search,Search,搜尋
UI_FragmentName,Fragment Name,碎片名稱
UI_Confirm,Confirm,確認
UI_Cancel,Cancel,取消
Ui_Radius,Radius,半徑
UI_CastPreview,Cast Preview,施法預覽
UI_ImpactPreview,Impact Preview,衝擊預覽

p_Summon,Summon,召喚
p_BaseDamage,Base Damage,基礎傷害
p_DamageMultiplier,Damage Multiplier,傷害倍率
p_FinalDamage,Final Damage,最終傷害
p_Increase,Increase,增加
p_Decrease,Decrease,減少
p_AfterImpact,After Impact,衝擊後
p_ForkImpact,Fork Impact,分叉衝擊
p_FourWayImpact,Four-Way Impact,四向衝擊
p_LatitudeImpact,Latitude Impact,橫向衝擊
p_LongitudeImpact,Longitude Impact,縱向衝擊
p_Cost,Cost,消耗
p_ap,AP,行動點
p_mana,MANA,魔力
p_health,HEALTH,生命
p_speed,SPEED,速度
p_balance_movement,Balance Movement,剩餘移動力
p_strength,STRENGTH,力量
p_agility,AGILITY,敏捷
p_intelligence,INTELLIGENCE,智力

en,English,English
zh_TW,繁體中文,繁體中文
